,cust_index,Title,Author,Summary
2448,2448,Letter to Hanza,Anonymous,
2449,2449,Letter to Headman Bhosek,Lady Brunwyn,
2450,2450,Letter to Hearth-Mother,Anonymous,Describes the ill-fated expedition to the top of mount Sorrow
2451,2451,Letter to Herminius Sophus,J. Ithaka,A letter warning against an expedition to Makela Leki's final resting place
2452,2452,Letter to Hosni,Sirali,A mother warns her son about a seemingly dark woman
2453,2453,Letter to Idirfa,Uggissar,Uggissar's family takes refuge in a dangerous place
2454,2454,Letter to Imedril,Hannayel,Plans for some quiet reading
2455,2455,Letter to Imperial City,General Falx Carius,A resurrected general thinks Solstheim has been invaded by Dunmer.
2456,2456,Letter to Imwyn,Anonymous,
2457,2457,Letter to Irm,Inguya,
2458,2458,Letter to Isrudde,Elanwen,"An alchemist wishes to purchase ""red brittle"""
2459,2459,Letter to Jakarn,N,
2460,2460,Letter to Jakild,Gabbi Forestborne,
2461,2461,Letter to Jazish,Jiyya,Letter of a Khajiit merchant in Firsthold
2462,2462,Letter to Kathner,Beast Master Weerna,A serious question from friend to friend
2463,2463,Letter to Keeper Carcette,Azarain,A Vigilant's pledge to investigate disappearances
2464,2464,Letter to Kharekh gra-Bagrat,H,A scheme to turn the falsely imprisoned into slaves
2465,2465,Letter to King Folbert,Sir Gregoire Talais,The knights of Watcher's Hold beg for relief
2466,2466,Letter to King Maxevian,Captain Orrent Retene,Begging the king for relief that hasn't come
2467,2467,Letter to Kitza-Enoo,V,Letter informing of an opportunity to capture a Daedric relic
2468,2468,Letter to Lady Sulima,Saroldo,
2469,2469,Letter to Laenira,Anonymous,Let's hope Laenira doesn't try to pick the wisps
2470,2470,Letter to Laryaril,Pelidil,Conspiracy by members of the Veiled Heritance
2471,2471,Letter to Laryaril,Pelidil,
2472,2472,Letter to Lauriel,Selenwe,A woman away from home begs for word from her younger sister
2473,2473,Letter to Leonce Gavendien,Captain Lagra,Devious schemes of robbery
2474,2474,Letter to Littorn,General A,A steamy love letter
2475,2475,Letter to Lozruth,Goruz,
2476,2476,Letter To Mactana Greenway,Anonymous,A brief note on the fall of the Battlespire and the means of escape.
2477,2477,Letter to Mairrna,Fascune,People are disappearing... and birds appearing
2478,2478,Letter to Marillan,Ilend Balbus,Contains a riddle for Dragonguard recruits
2479,2479,Letter to Marina,Niro,A somewhat ominous and threatening letter
2480,2480,Letter to Marshal Hlaren,Mistress Dren,A letter to the Marshal of Suran.
2481,2481,Letter to Master Rethan,Foreman Nox,A plot and a brew
2482,2482,Letter to Matus Amnis,Moris,A letter from one cultist to another
2483,2483,Letter to Mertis,J,A plot to steal a plot of land
2484,2484,Letter to Mirudda,Anonymous,
2485,2485,Letter to Mother Ciannait,Bani,Icereach witches plan to increase their power
2486,2486,Letter to Mylenne,Vykosa the Ascendant,"Motivational speech, from one werewolf to another"
2487,2487,Letter to Naara,Arch Necromancer,Letter with a riddle
2488,2488,Letter to Nabor,Voria,A betrayal of Necromancer siblings
2489,2489,Letter to Narsis,Ida,Letter from a plague victim
2490,2490,Letter to Negaelion,Glardel,Someone needs to get their life together
2491,2491,Letter to Norasea,Haladan,
2492,2492,Letter to Ofglog,Shakul,A note about a disappearing Orc
2493,2493,Letter to Orzorga,General Proximus,The general would like to put the commander back in charge
2494,2494,Letter to Otumi-Ra,Anonymous,A letter to an old friend
2495,2495,Letter to Paathi,Shola'mai,A Moon-Bishop is acting suspicious
2496,2496,Letter to Pentarch Draljura,Lady Belain,Reachmen Clan informing ready for ritual
2497,2497,Letter to Percy Velmont,Lady Anais Velmont,The lady Anais Belmont informs her brother of her sudden departure
2498,2498,Letter to Peryite,Anonymous,A fanatic's letter to his Daedric patron
2499,2499,Letter to Purifier Cyrus,Scout Avaline,"The Silver Dawn, once hunters, become the hunted"
2500,2500,Letter to Raelynne,Gaston,Plans to raise armies in old ruins
2501,2501,Letter to Raerana,Rilyn,A somewhat possessive love letter
2502,2502,Letter to Rana,"General Vayne Redoran, Vivec Garrison",A letter informing Rana of her court-martial
2503,2503,Letter to Reezal-Jul,Baron Montclair,A rather incriminating letter
2504,2504,Letter to Roshilde,Anonymous,
2505,2505,Letter to Rulassalmo,Fistalime,
2506,2506,Letter to Runescriber Kulth,Braadoth,Rune-inscription has to speed up
2507,2507,Letter to Salma,Anonymous,Mother's letter to her daughter.
2508,2508,Letter to Savarak,N,A letter about a plot to poison Dratha.
2509,2509,Letter to Selenwe,Ohadil,A mother is concerned about her youngest daughter's behavior
2510,2510,Letter to Selloe,Ghisiliane of Summerset,
2511,2511,Letter to Senilias Cadiusus,Hasphat Antabolis,A letter for a job to collect a certain item from Arkngthand for Hasphat Antabolis.
2512,2512,Letter to Sentulus,Nightcaller Chartrand,A plot to unravel the Covenant
2513,2513,Letter to Septimius,Junia Severa,"Research on the Hist, the Saxhleel, Black Marsh, and how they all connect"
2514,2514,Letter to Seyne,Samel,A letter from a proud sibling
2515,2515,Letter to Sheogorath,Relmyna,"A letter from Relmyna, the creator of Gatekeeper, reporting about the situation in the Fringe and most importantly the status of Gatekeeper and its weakness."
2516,2516,Letter to Shirnama,Ra'khajin,
2517,2517,Letter to Skull-Brother Xandier,Emutaril,A collector of Nedic artifacts speaks of great treasures
2518,2518,Letter to Sonya,Hadmal,A sad letter from a husband to a wife
2519,2519,Letter to Stelvene Lothaire,Rincous,
2520,2520,Letter to Strastnoc,Linele,
2521,2521,Letter to Sybilline Elve,Meluse Scribonia,A small loan is needed to get a regal family back on their feet
2522,2522,Letter to Tarnamir,Halimorion,Announcing an apology tour
2523,2523,Letter to Tavo from Nahrina,Nahrina,
2524,2524,Letter to Telenger,"Namolelcare, Firsthold Hall Steward",A glowing recommendation for a young Apprentice
2525,2525,Letter to Thalrinel,E.,
2526,2526,Letter to Thane Ogvar,Thunvilde,Report to the Thane regarding Sea Giants
2527,2527,Letter to the Grand Chanter,Chanter Nemus,A priest of Akatosh desperately wants reassignment
2528,2528,Letter To The Grand Marshall of The Imperial Legion,Clarentavious Valisious,Instructions on fixing and using the Star Galley.
2529,2529,Letter to the High Priest,Disastrix Celdina,A letter about the father of a child
2530,2530,Letter to the Icereach Coven,R,Correspondence between the Icereach Coven and their benefactor
2531,2531,Letter to the Overseer,Bruik,Miners are getting suspicious about the growing disappearances in Blackreach
2532,2532,Letter to the Pentarch,R,
2533,2533,Letter to the Twilight Mage,Magister Marashi,
2534,2534,Letter to the Withered Rose,Lord Quintus Jarol,Regarding secret tunnels underneath a brotherl
2535,2535,Letter to Usha,Monesa,Two lovers try to make it work despite family resistance.
2536,2536,Letter to Vals Veran,Golldir,A racist letter.
2537,2537,Letter to Vethisa,Dreadlord Naucratius,Vethisa will receive reward or agonizing punishment
2538,2538,Letter to Vibius Sosia,Anonymous,A letter about daedra belonging
2539,2539,Letter to Vigrod,Anonymous,Letter to a Companion from his mother
2540,2540,Letter to Volgo,Dreadlord Naucratius,Yet another cultist searches for the relic
2541,2541,Letter to Windhelm,Anonymous,A brother asks his sister for shelter.
2542,2542,Letter to Wyress Gwen,Wyress Domi,The weird vines around the Wyrd Tree are getting worse
2543,2543,Letter to Yazara,Anonymous,
2544,2544,Letter to Zemarek-Thul,Sir Cadwell,Another wacky letter from Cadwell
2545,2545,Letter to Zurga gra-Murtag,Grazubesha gra-Murtag,
2546,2546,Letter with Singed Edges,High Kinlady Estre of the Errinorne,A plot between Aldmeri nobility and the King of Worms
2547,2547,Letters For The Battlespire Hero,Vatasha Trenelle/Josian Kaid,
2548,2548,Letters from Leon and Rosalind,Anonymous,A collection of letters between lovers
2549,2549,Letters from Ralis Sedarys,Ralis Sedarys,Delivered to the player during the course of the Kjolborn excavation
2550,2550,Letters From The Dremora,Anonymous,
2551,2551,Letters from the EEC,Vittoria Vici,Fethis Alor doesn't take NO for an answer.
2552,2552,Letters from the War: Cyrodiil,Otumi-Tei,An Argonian soldier recounts a battle alongside his Dunmer and Nord allies
2553,2553,Letters from the War: Mead!,Seeks-the-Sun,An Argonian abroad visits a meadery
2554,2554,Letters from the War: Mournhold,Lara-Lar,An Argonian assigned to Mournhold writes of the city's attractions
2555,2555,Letters from the War: Windhelm,Anonymous,
2556,2556,Letters to Selina,Maximian Axius,A Frostmoth Legionnair's letters home to his love
2557,2557,Leyawiin Shipping Schedule,Anonymous,Scheduled deliveries to the Leyawiin dock
2558,2558,Lies of the Dread-Father,Nisswo Xeewulm,A poem about the misinterpretation of Sithis by the dark brotherhood
2559,2559,Lieutenant Jascien's Last Missive,Lieutenant Alouis Jascien,Lament for a desecrated graveyard
2560,2560,Life in the Eagle's Shadow,Anonymous,"An Altmer loves, then hates, then fights the newly founded Aldmeri Dominion"
2561,2561,Life in the Scaled Court,Valinka Stoneheaver,
2562,2562,Life of Uriel Septim VII,Rufus Hayn,"A biography of Uriel Septim VII, from the start of his reign to just prior to his death."
2563,2563,Light Armor Forging,Revus Sarvani,Describes the materials and techniques needed to make light armor.
2564,2564,Light Armor Repair,Anonymous,
2565,2565,Lighthouse Orders,The Ascendant Magus,
2566,2566,Lilytongue,Anonymous,
2567,2567,Liminal Bridges,Camilonwe of Alinor,"This document provides ""hypothetical"" instructions on how to travel between Mundus and Oblivion using sigil stones."
2568,2568,Line and Lure,Aland Sea-Bird,A book about fishing
2569,2569,Linelle's Note,Linelle,Note on the location of a person of interests
2570,2570,Liquid Silver,Anonymous,Information on this elusive metal
2571,2571,Lirendel's Family Shrine,Anonymous,
2572,2572,List,Anonymous,
2573,2573,List of Arctic Fish,Anonymous,List of fish
2574,2574,List of Argonians,Anonymous,
2575,2575,List of Fair Weather Fish,Anonymous,List of fish
2576,2576,List of Instructions,Alchemist Ruutivar,Instructions and guidance on Hist sap extraction
2577,2577,List of Names,Anonymous,
2578,2578,List of Rainy Weather Fish,Anonymous,List of fish
2579,2579,List of Rare Fish,Anonymous,List of fish
2580,2580,List of Sequestered Guests,Anonymous,Races and genders of foreigners detained in Summerser
2581,2581,List of Targets,Anonymous,A list of people who really should just die
2582,2582,List of Underground Fish,Anonymous,List of fish
2583,2583,Listens-To-Water's Observations,Listens-To-Waters,"A journal, bookmarked with a key"
2584,2584,Lists of Candidates,Commander of the Imperial Watch and the Gray Fox,"Both the original and the fake lists. The original list's author is the Commander. Found in the Thieves Guild quest ""Taking Care Of Lex""."
2585,2585,Litanies of the Dominator,Anonymous,
2586,2586,Litanies of the Worm,Anonymous,
2587,2587,Litany of Blood,Anonymous,A lengthy prater to Dread Father Sithis
2588,2588,Litany of Blood Fulfilled,Anonymous,A short prayer to the patrons of the Dark Brotherhood
2589,2589,Lithnilian's Research Notes,Lithnilian,These are Lithnilian's notes of his expedition into Bramblepoint Cave and his discovery of a Welkynd Stone.
2590,2590,Litter-Mates of Darkness,Moon-Bishop Hunal,Damned Khajiit souls become frightening apparitions
2591,2591,Little Echatere,Eveli Sharp-Arrow,
2592,2592,Liturgy of the Duelists,Anonymous,Poems of the combatants.
2593,2593,Lives of the Saints,Tribunal Temple,Some brief description about the Tribunal saints.
2594,2594,Living on the Karth River,Aodhsil,Life of a Reachman living on the Karth River
2595,2595,Living with Lycanthropy,Anonymous,Instructions on suppressing the bloodlust of the beast
2596,2596,Lizards,Hatiha,
2597,2597,Lleraya's Orders,Lady Lleraya Montclair,Lady Lleraya Montclair
2598,2598,Location Entry Messages,Anonymous,"Messages displayed based on season when you enter an audience chamber, tavern, shop, temple, or mages guild."
2599,2599,Locations of the Stones,Anonymous,"A map of the magical stones (wind, water, earth, tree, beast and sun) of Skaal."
2600,2600,Lockpick Sales-Duty,Anonymous,
2601,2601,Log #321: Unexpected Results,Archivist Ernarde of the Moon Hunter Pack,Experiments in strengthening werewolves
2602,2602,Log of Elberon the Great,Elberon,Describes the different rooms and puzzle of a Dwemer Ruin
2603,2603,Log of Emma May,Anonymous,"A log from the ship called the Emma May. Found during the miscellaneous quest ""The Forlorn Watchman""."
2604,2604,Log of the Intractable,Anonymous,
2605,2605,Logbook of Druid Anwas,Druid Anwas,
2606,2606,Logbook of Druid Betrys,Druid Betrys,
2607,2607,Long Fire,Anonymous,Description of an Yokudan tabur
2608,2608,Look at this Guard Dispatch!,"Andarri, Thrag",Thieves Guild members guess the writer of a humorous guard notice
2609,2609,Look to the Dawn,Anonymous,A warning against darkness
2610,2610,Looter's Note,Anonymous,Note on a looter trying to make a lucky break
2611,2611,Lorcalin's Orders,Elenwen,Instructions to destroy a Talos shrine.
2612,2612,Lord Bacaro's Journal,Lord Bacaro,
2613,2613,Lord Hollowjack's Dread Realm,Cuilean Darnizhaan,Information on the daedric lord of mortal fears
2614,2614,Lord Jaren's Journal,Lord Jaren,"The journal of Lord Jaren, tells the story about the unfortunate fate of the Lainlyn rebel leader, Lord Kain."
2615,2615,Lord Jarol's Deep Thoughts,Lord Jarol,Lust-filled musings about Fortunata of Anvil
2616,2616,Lord Jornibret's Last Dance,Anonymous,"A fine piece of gallant poetry. Somewhat like ""Rude Song"" of Daggerfall, but much, much more refined."
2617,2617,Lord Kelvyn's Will,Lord Kelvyn,"A note and last will of Lord Kelvyn the last descendant of Lord Jaren of the Knight of the True Horn, while defending his Battlehorn Castle."
2618,2618,Lord Vivec's Questions,Vivec,The Master of Morrowind attempts to discover the source of his ailment
2619,2619,Lord Wallavir's Wedding Invitation,Anonymous,Invitation to a posh (and gift-grabby!) wedding
2620,2620,Loriasel Tablet Notes,Anonymous,A researcher deciphers an Ayleid tablet
2621,2621,"Loriasel Tablet, Entry 2",Anonymous,
2622,2622,Lorogdu's Journal,Lorogdu,An introspective orc muses on internal strife in his war party
2623,2623,Loss of the Sea Stallion,Anonymous,Note referencing the sinking of a ship
2624,2624,Lost and Dusty Journal,Anonymous,
2625,2625,Lost Boy Cavern Notes,Vangaril and Erandur,
2626,2626,Lost Caravan Guard's Note,Anonymous,Plans to smuggle Dwemer artifacts from Morrowind to Hammerfell
2627,2627,Lost Cat,Kishima,A cat that needs some help getting back home
2628,2628,Lost Histories of Tamriel,Anonymous,"This is a fascinating (and short) excerpt about the Aedric prophecies, more commonly known as the Elder Scrolls. Finding it is the objective of the Thieves Guild quest ""Lost Histories""."
2629,2629,Lost Legends of Skyrim,Talsgar the Elder,Speaks of the 'Forbidden Legend' of Archmage Gauldur
2630,2630,Lost Tales of the Famed Explorer,Solis Aduro,A deadly expedition to find the mythical Golden Stair of Black Marsh
2631,2631,Louna's Grimoire: Corpse Cough,Louna,How to manufacture Corpse Cough
2632,2632,Love Letter from Relfina,Relfina,This is a love letter from Relfina to her dearest Roland.
2633,2633,Love Letter to Aishah,Ezudash,A rather steamy Khajiiti love letter
2634,2634,Love Note to Adrienne,Erning,
2635,2635,Love Note to Catina,Erning,
2636,2636,Love Note to Enna,Erning,
2637,2637,Love Poem,Calcelmo,"Calcelmo's poem to his lover, Faleen"
2638,2638,Love Poem LT0782,Anonymous,A robot's best attempt at poetry
2639,2639,Love's Eternal Flame,Anonymous,
2640,2640,Lovingly Written Note,Anonymous,A note regarding some soldiers
2641,2641,Lu-ah's Journal,Lu-ah,A wife turns to necromancy to revive her dead husband.
2642,2642,Lucius the Stalwart,Anonymous,Description of a scholarly champion
2643,2643,Lucius' Note,Lucius,Trapped in a tower and surrounded by trolls
2644,2644,Lucrative Opportunity in Eastmarch,Anonymous,Pamphlet notifying of a job
2645,2645,Lufiya af-Frandar,Endarwe,Description of the remains of Frandar Hunding's niece
2646,2646,Lusty Argonian Maid Folio,Crassius Curio,Antique heirloom smut.
2647,2647,Lycanthropic Immunity,Anonymous,Details Gray Host experiments on werewolves
2648,2648,Lycanthropic Legends of Skyrim,Lentulus Inventius,The search for truth about werebears and werewolves.
2649,2649,Lymdrenn Tenvanni's Journal,"Lymdrenn Telvanni, Hidrya Olen",A father's last message to his son. Includes information on the fate of the Telvanni after the Red Year.
2650,2650,Lynch's Instructions,Anonymous,"These instructions for Lynch were to be destroyed after being read. Found during the Miscellaneous quest ""An Unexpected Voyage""."
2651,2651,Lyranth's Letter,Lyranth,A request to meet with Lyranth
2652,2652,Lyranth's Letter,Lyranth,A request for help from Lyranth
2653,2653,M'Sharra's Confession,M'Sharra,confession of a crimson dirk bandit
2654,2654,M'Sharra's Diary,M'Sharra,Note of a crimson dirk bandit
2655,2655,M'zum's Journal,M'zum,
2656,2656,Ma'zaddha's Crinkled Note,Ma'zaddha,"Ma’zaddha's note about Nelrene’s sword, which is supposed to be used to kill Syl, the Duchess of Dementia."
2657,2657,Macabre Manifest,Anonymous,"This is a manifest listing possessions from recently deceased people. Found during the Miscellaneous quest ""Unfriendly Competition""."
2658,2658,Mace Etiquette,Anonymous,Guide to proper use of maces.
2659,2659,"Mad Baron Densil, Part the First",Anonymous,
2660,2660,"Mad Baron Densil, Part the Second",Anonymous,
2661,2661,"Mad Baron Densil, Part the Third",Anonymous,
2662,2662,Mad Urkazbur's Ice-Effigy,Anonymous,Description of a Ogre tyrant
2663,2663,Madanach's Note,Madanach,Instructions for escaping Cidhna Mine.
2664,2664,Madness Ore Materials List,Cutter,List of materials for creating armor and weapon from Madness Ore.
2665,2665,Maelmoth's Marvelous Masterpiece,Maelmoth the Mysterious,An enchanter advertises a marvelous bottle
2666,2666,Mages Guild Authorization,Anonymous,
2667,2667,Magic from the Sky,Irlav Jarol,A valuable treatise on Ayleid magic. This is a great reference source on Welkynd Stones and Varla Stones.
2668,2668,Magic From The Sky,Zeroli Jarol,Research on Ayleid magical stones and wells
2669,2669,Magister Irin's Notes,Anonymous,
2670,2670,Magister Otheri's Research Journal,Magister Otheri,Tonal magics to help Kwama mines
2671,2671,Magister's Writ,Magister Therana,A writ of commendation for an Argonian slave.
2672,2672,Magistrate's Message,Banu,
2673,2673,Maintenance Log 4091,Anonymous,Conditions in the Clockwork City
2674,2674,Maintenance Log 5352,Anonymous,Conditions in the Clockwork City
2675,2675,Maintenance Log 5453,Anonymous,Conditions in the Clockwork City: in danger of failure
2676,2676,Mair's Research Notes,Mair,Research notes concerning Dwemer astronomy in Craglorn
2677,2677,"Mairead's Diary, Entry 3",Mairead,Mairead's diary
2678,2678,"Mairead's Diary, Entry 346",Mairead,Mairead's diary
2679,2679,"Mairead's Diary, Entry 712",Mairead,Mairead's diary
2680,2680,Majid - Please Read,Anonymous,Bandit's warning about a curse on an artifact
2681,2681,"Make the Wilds Safer, Earn Gold","Panreth the Bold, Freelance Hunter and Benefactor",A pamphlet offering work opportunity of the strongarm variety
2682,2682,Mal Sorra's Curse,Anonymous,A wicked Dunmer conjurer is banished from Nirn
2683,2683,Malacath and the Reach,Anonymous,
2684,2684,Malacath and Trinimac,Ugdorga,
2685,2685,"Malham's Annotated Compendium of Arcane Contrivances of the Second Age, Volume IV",Malham,A list of spells and their descriptions.
2686,2686,Maliah's Journal,Maliah,"Contains the password for the analysis factotums, and a mother's hope"
2687,2687,Malizaz's Journal,Malizaz,A necromancer attempt to prove themselves to their boss
2688,2688,Malofar's Journal,Malofar,
2689,2689,Maluril's Journal,Maluril,A rogue wizard holed up in a Dwemer ruin.
2690,2690,Malyn Varen's Grimoire,Malyn Varen,Notes on the convertion of Azura's Star into a Black Soulgem
2691,2691,Mammoth Duty,Lob the Cleaver,
2692,2692,Manifest of Kinlord Rilis XII,Kinlord Rilis XII,Musings of this dark Kinlord
2693,2693,Manifesto Cyrodiil Vampyrum,Anonymous,Information about the Vampires of Cyrodiil.
2694,2694,Manifestos of Kinlord Rilis XII,Kinlord Rilis XII,
2695,2695,"Mannimarco, King of Worms",Horicles,"An epic poem about Mannimarco, the King of Worms."
2696,2696,Mantra of Expulsion,Anonymous,Prayer to expel Dro'mathra.
2697,2697,Mantra of Redemption,Anonymous,
2698,2698,Manual Of Armor,Anonymous,
2699,2699,Manual Of Arms,Anonymous,
2700,2700,Manual Of Spellcraft,Anonymous,
2701,2701,Manual of Xedilian,Anonymous,
2702,2702,Manufactory Repair Parts,Seeks-Ancient-Artifacts,Notes on repair parts
2703,2703,Many Thanks,Anonymous,Smuggling valuables out of Castle Dour.
2704,2704,Maormer Correspondence,Angalmo,Information about Tempest Island and its various weather phenomena
2705,2705,Maormer Memo,Heculoa,
2706,2706,Map Fragment,Anonymous,Northern trail markings fragment
2707,2707,Map Fragment,Anonymous,Crude symbol cave fragment
2708,2708,Map Fragment,Anonymous,Worm Cult camp fragment
2709,2709,Map of Clans,Anonymous,Description of a long-lost map from the first era
2710,2710,Map of Red Mountain,Bouyant Armigers,The map the Bouyant Armigers use when venturing inside the Ghostfence.
2711,2711,Mara Smiles Upon You!,Drifa,Response from the temple of Mara in regards to incorporating Argonian rituals in a marriage.
2712,2712,Mara's Tear,Zhen,Child's fairy tale.
2713,2713,Marbruk Builder's Log,Anonymous,The difficulties of construction in Valenwood
2714,2714,Margret's Journal,Margret,An Imperial agent attempting to secure the deed to Cidhna Mine
2715,2715,Mark of Egg-Births,Anonymous,Alocation of eggs to various parties
2716,2716,Martha's Journal,,
2717,2717,Marzula-jo's Notes,Marzula-jo's,A necromancer's experiment log
2718,2718,Masks of the Tribunal,Matriarch Drevlan,Notes on the masks of the Tribunal
2719,2719,Master Ellane's Last Words,Ellane,A letter from a sage to his successor
2720,2720,Master Healer Viralaine's Notes,Anonymous,
2721,2721,Master Illusion Text,Anonymous,Supposedly the secrets of the universe. Really just gibberish in a fancy font.
2722,2722,Master Pythis's Journal,Master Pythis,A rogue Psijic's journal
2723,2723,Master Zoaraym's Tale,Gi'Nanth,This a story about Master Zoaraym and his students at the Temple of the Two Moons in Elsweyr.
2724,2724,Masterwork of the Inducer,Anonymous,Translation of an Ayleidoon flesh-sculpting text
2725,2725,Mastery of Devotion,Anonymous,part of the sword singer mastery series
2726,2726,Mastery of Discipline,Anonymous,part of the sword singer mastery series
2727,2727,Mastery of Sacrifice,Anonymous,Part of the sword singer mastery series
2728,2728,Mastery of Wisdom,Anonymous,Part of the sword singer mastery series
2729,2729,Mathias Raiment's Journal,Mathias Raiment,
2730,2730,Mathiisen Forge Inventory,Anonymous,List of arms and armor
2731,2731,Mathoc the Immortal,Anonymous,Tale of a fearsome Breton warrior and the wounds that haunt him
2732,2732,Mathor's Journal,Mathor,
2733,2733,Matriarch Drevlan's Journal,Matriarch Drevlan,Journal on the Matriarch of the Temple
2734,2734,Matriarch Drevlan's Note,Matriarch Drevlan,Notes on who attacked the temple
2735,2735,Matthiaume's Journal,Matthiaume,
2736,2736,Matthild Built This Place,Anonymous,
2737,2737,"Mauloch, Orc-Father",Ramurbak gro-Abamath,Code of conduct for devotees of the god Mauloch
2738,2738,Maxten's Research Journal,Maxten,A Gravestone
2739,2739,May Disaster Turn Away,Anonymous,A poem about gates of oblivion opening
2740,2740,Mazghar Many-Tongues,Anonymous,A short rhyme
2741,2741,Mazubar-do's Advice,Mazubar-do,A guide to dancing and to fighting
2742,2742,"Mead, Mead, Mead!",Anonymous,A drinking song for having Skyrim's national drink of choice.
2743,2743,Mean Old Torchbug,Anonymous,A children's story abut an occasionally clever little scrib
2744,2744,Meat for Soup,Anonymous,One person's opinions on which meat is good for soup
2745,2745,Mechanical Fundament Maintenance Logs,Anonymous,Factotum instructons for cleanin up
2746,2746,Medium Armor: Tannins and Leather,Defessus Lector,A somewhat humorous instructional manual from a leather crafter to his apprentice
2747,2747,Medresi's Notes,Medresi,A treasure hunter's search for Angarvunde.
2748,2748,Meeting with Chodala,Scribe Dakin,The would-be Nerevarine demonstrates his power and his intentions
2749,2749,Mel Adrys' Journal,Mel Adrys,
2750,2750,Melleron's Journal,Melleron,A rotmeth brewer has trouble selling his wares in Elsweyr
2751,2751,Memo from Menoit,Anonymous,
2752,2752,Memo to Captain Doronil,Commander Taldyn,
2753,2753,Memo to Captain Siro,"Magus-General Septima Tharn, Seventh Legion",
2754,2754,Memorandum: Indrik Emergence & Formal Development,Sapiarch Undaisse,Notes on these magical deer-like creatures
2755,2755,Memorize and Burn!,Anonymous,A note about codespeak
2756,2756,Memory Stone of Makela Leki,Makela Leki (presumed),The biography and final thoughts of a Redguard hero
2757,2757,Menaldinion's Advert,Menaldinion,"Don't trust your body to alchemy, but rather to good, clean, wizardry"
2758,2758,Mend the Threads,Anonymous,More about the destiny of the Chosen Warrior
2759,2759,Mender Roslenn's Journal,Mender Roslenn,
2760,2760,Mendreval's Clue,Anonymous,
2761,2761,Mercano's Journal,Anonymous,Journal of a man who turned to desperate measures for a loved one
2762,2762,Mercenary's Note,Anonymous,Mercenaries experiencing strange effects
2763,2763,Mercenary's Scorched Journal,Anonymous,
2764,2764,Merchandise Retrieval Order,Flavia Morena,Auction of a daedric artifact
2765,2765,Merchandise Retrieval Order,Anonymous,An order to not deal with a certain mage
2766,2766,Merchant Lords' Compiled Documents,Ralos,Merchants documents regarding his contacts
2767,2767,Merchant's Journal,Anonymous,A wife's devotion to her husband and a lament on the state of roads.
2768,2768,"Merchants, Scoundrels, Thieves",Garold Farfly,A biased history of the Dragonstar Caravan Company
2769,2769,Merdyndril's Orders,Merdyndril,
2770,2770,Merethrin's Research Notes,Anonymous,Research about longevity
2771,2771,Merien Sellan's Spellbook,Anonymous,
2772,2772,Merien's Incantation,Anonymous,
2773,2773,Merilar's Journal,Merilar,Another fight over a discovery in a ruin.
2774,2774,Merion's Diary,Anonymous,An alchemist finds love in an unlikely place
2775,2775,Mesanthano's Tower,Anonymous,Very bried notes on this world location
2776,2776,Message from Dagoth Ur,Dagoth Ur,Dagoth Ur's gesture of friendship to the Nerevarine.
2777,2777,Message from Divayth Fyr,Divayth Fyr,An encoded message from Divayth Fyr in respose to Master Aryon's message.
2778,2778,Message from Fennorian,Fennorian,
2779,2779,Message from Geneura,Geneura,
2780,2780,Message from Master Aryon,Master Aryon,An encoded message from telvanni Mage-lord Aryon.
2781,2781,Message in a Bottle,Captain Lagra,
2782,2782,Message of Welcome,Archdruid Wyn,
2783,2783,Message to Jena,M,
2784,2784,Messenger's Report,Anonymous,
2785,2785,Mezhun's Field Journal,Mezhun,Journal about Horker-Tusk tribesmen
2786,2786,Midden Incident Repot,Anonymous,A summoning gone horribly wrong at the College of Winterhold.
2787,2787,Might as Well Die Fighting,Anonymous,
2788,2788,Mikget's To-Do List,Mikget,A to do list
2789,2789,Mila's Note on Very Secret Treasure,Mila,Note on a secret treasure
2790,2790,Military Deployment across Auridon,Battlemage Sinien (signed),
2791,2791,Minahel's Note,Minahel,
2792,2792,Mine Foreman's Log,Anonymous,
2793,2793,Mine Foreman's Orders,Anonymous,
2794,2794,Mine Safety Regulations,Anonymous,
2795,2795,Miner's Journal,Hadrir,Attempts to find gold unsuccessful.
2796,2796,Miner's Journal,Anonymous,"A group of miners breaks into a dwarven ruin. It does not go well, as usual."
2797,2797,Miner's Note,Anonymous,Instructions to a hidden door
2798,2798,Miner's Warning,Anonymous,Don't feed the trolls
2799,2799,Minorne,Moric Sidrey,The scripture of Minore.
2800,2800,Minutes of the Elder Council,Anonymous,An amusing record of how the Elder Council adjourned a meeting during the Planemeld
2801,2801,Minwileth's Diary,Minwileth,A diary about a companion who has an illness
2802,2802,Mirah's Journal: The Salvage,Mirah,
2803,2803,Miregaunts of the Marsh,Kratius Gray,Information about these walking pieces of swampland
2804,2804,Mireli's Letter to Mother,Mireli,A Kjolborn miner's letter home.
2805,2805,Mirili's List,Mirili Ulven,The list of alchemical ingredients needed by Mirili Ulven.
2806,2806,Mirror of Fatal Premonition,Anonymous,A describes a mirror showing your death
2807,2807,Miruin's Journal,Anonymous,
2808,2808,Mirulon's Report,Mirulon,Supports daedric actions in Summerset
2809,2809,Missing Citizens,Anonymous,
2810,2810,Missing Merchant,Anonymous,Request to locate a missing merchant
2811,2811,Missing Miners,Urlvar,An overseer wants to keep disappearing miners quiet
2812,2812,Missing: Gordonkha the Shark and Lazy Murshez,Anonymous,Describes two thieves who never xamback from a heist
